class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,tag
0,0.473,0.43650794,0.589,1.0158731,0.912,0.9206349,0.839,1.0079365,1.047,0.61904764,1.049,0.6666667,0.473,0.43650794,0.531,1.9206349,0.461,0.45238096,0.294,0.21428572,0.531,1.9523809,0.408,0.86507934,0.485,0.44444445,0,0,3
0,0.251,0.26984128,0.37,0.3015873,0.511,0.13492064,0.49,0.44444445,0.993,0.24603175,1.072,0.23015873,0.251,0.26984128,0.348,0.82539684,0.251,0.26984128,0.106,0,0.348,0.82539684,0.226,0.5555556,0.256,0.26984128,0,0,3
0,0.405,0.36507937,0.482,0.7777778,0.708,0.7619048,0.686,0.7777778,1.003,0.53174603,0.98,0.6111111,0.405,0.36507937,0.431,1.4603175,0.403,0.34920636,0.228,0.16666667,0.432,1.4761904,0.373,0.75396824,0.419,0.34920636,0,0,3
0,0.493,0.3888889,0.546,1.0634921,0.821,1.0873016,0.722,1.0873016,1.042,0.73015875,1.037,0.78571427,0.493,0.3888889,0.466,1.6666666,0.484,0.3809524,0.225,0.23015873,0.468,1.7063493,0.49,0.3888889,0.519,0.3888889,0,0,3
0,0.386,0.3968254,0.571,0.6666667,0.79,0.4920635,0.699,0.93650794,1.006,0.56349206,1.006,0.515873,0.386,0.3968254,0.509,1.7698413,0.386,0.3968254,0.376,0.33333334,0.509,1.7698413,0.26,0.63492066,0.414,0.3809524,0,0,3
0,0.445,0.4920635,0.562,0.85714287,0.779,0.7777778,0.685,0.93650794,1.03,0.6269841,1.014,0.67460316,0.445,0.4920635,0.489,1.5555556,0.444,0.45238096,0.255,0.31746033,0.484,1.5793651,0.358,1.0634921,0.493,0.5,0.005,0,3
0,0.463,0.2777778,0.488,0.7777778,0.68,0.96031743,0.628,1.0476191,1.03,0.6666667,1.017,0.52380955,0.446,0.3809524,0.507,1.3015873,0.329,0.6666667,0.3,0.12698413,0.511,1.3571428,0.444,0.3809524,0.479,0.30952382,0.006,0,3
0,0.526,0.35714287,0.553,1.0873016,0.832,1.2142857,0.748,1.2063493,0.975,0.8095238,0.951,0.8015873,0.526,0.35714287,0.613,1.7301587,0.508,0.33333334,0.345,0.34126985,0.595,1.8492063,0.521,0.43650794,0.534,0.36507937,0,0,3
0,0.382,0.46031746,0.589,0.6507937,0.809,0.4047619,0.73,0.9285714,0.969,0.5793651,0.972,0.6269841,0.382,0.46031746,0.515,1.7777778,0.382,0.46031746,0.313,0.50793654,0.515,1.7777778,0.207,0.56349206,0.407,0.4047619,0,0,3
0,0.462,0.515873,0.635,0.9444444,0.946,0.6507937,0.834,1.1428572,0.983,0.74603176,0.966,0.74603176,0.462,0.515873,0.552,2.063492,0.461,0.50793654,0.364,0.18253969,0.553,2.0873015,0.346,1.2142857,0.485,0.48412699,0,0,3
0,0.401,0.36507937,0.508,0.7619048,0.757,0.73015875,0.688,0.84126985,1.031,0.53174603,1.047,0.43650794,0.401,0.36507937,0.471,1.5396825,0.401,0.36507937,0.132,0.031746034,0.471,1.5396825,0.375,0.6825397,0.409,0.35714287,0,0,3
0,0.408,0.32539684,0.528,0.76984125,0.792,0.61904764,0.724,0.85714287,1.008,0.515873,1.023,0.6031746,0.408,0.32539684,0.512,1.6587301,0.408,0.32539684,0.22,0.015873017,0.512,1.6587301,0.351,0.63492066,0.417,0.31746033,0,0,3
0,0.34,0.26984128,0.407,0.53174603,0.598,0.515873,0.543,0.6111111,1.072,0.35714287,1.03,0.35714287,0.34,0.26984128,0.383,1.0952381,0.34,0.26190478,0.071,0,0.383,1.1031746,0.337,0.34126985,0.338,0.2777778,0,0,3
0,0.447,0.44444445,0.579,0.9047619,0.872,0.6984127,0.801,1.0158731,1.054,0.73015875,0.998,0.64285713,0.447,0.44444445,0.571,1.7857143,0.447,0.44444445,0.326,0.16666667,0.571,1.7857143,0.406,0.8095238,0.465,0.41269842,0,0,3
0,0.35,0.33333334,0.476,0.56349206,0.637,0.44444445,0.584,0.6825397,1.053,0.4920635,1.044,0.45238096,0.35,0.33333334,0.426,1.2936507,0.35,0.32539684,0.236,0.21428572,0.426,1.3015873,0.21,0.5,0.381,0.35714287,0.004,0,3
0,0.307,0.26190478,0.429,0.42857143,0.59,0.3968254,0.548,0.5555556,1.003,0.34126985,0.974,0.33333334,0.307,0.26190478,0.409,1.1349206,0.307,0.26190478,0.13,0.023809524,0.409,1.1349206,0.276,0.3888889,0.309,0.26984128,0,0,3
0,0.465,0.3809524,0.553,0.95238096,0.8,0.9126984,0.735,1.0238096,0.926,0.7063492,0.959,0.5793651,0.463,0.37301588,0.551,1.5873016,0.456,0.34126985,0.33,0.24603175,0.544,1.6428572,0.439,0.6111111,0.503,0.44444445,0,0,3
0,0.54,0.54761904,0.626,1.1666666,0.937,1.1984127,0.832,1.3095238,1.005,0.9285714,1.024,0.7936508,0.539,0.5555556,0.647,1.8492063,0.522,0.50793654,0.379,0.23015873,0.629,2.0079365,0.507,0.8730159,0.563,0.53968257,0,0,3
0,0.369,0.36507937,0.511,0.6507937,0.735,0.5,0.672,0.7619048,1.043,0.53174603,0.994,0.42857143,0.369,0.36507937,0.479,1.4761904,0.369,0.36507937,0.241,0.16666667,0.479,1.4761904,0.278,0.65873015,0.399,0.32539684,0,0,3
0,0.446,0.45238096,0.602,0.9285714,0.932,0.74603176,0.826,1.0238096,0.984,0.67460316,1.01,0.6111111,0.446,0.45238096,0.53,1.9603175,0.446,0.44444445,0.268,0.16666667,0.53,1.9761904,0.359,0.97619045,0.456,0.46031746,0,0,3
0,0.423,0.43650794,0.564,0.8333333,0.85,0.6984127,0.78,0.9444444,1.039,0.6269841,1.034,0.64285713,0.423,0.43650794,0.553,1.7380953,0.423,0.43650794,0.28,0.15873016,0.553,1.7380953,0.337,0.8730159,0.432,0.42857143,0,0,3
0,0.396,0.34126985,0.554,0.6984127,0.819,0.515873,0.766,0.82539684,1.015,0.6031746,1.007,0.50793654,0.396,0.34126985,0.489,1.6904762,0.396,0.34126985,0.244,0.08730159,0.489,1.6904762,0.339,0.71428573,0.408,0.36507937,0,0,3
0,0.377,0.33333334,0.492,0.6666667,0.712,0.6031746,0.652,0.78571427,0.998,0.53174603,0.963,0.44444445,0.377,0.33333334,0.432,1.3650794,0.377,0.33333334,0.259,0.26190478,0.432,1.3650794,0.36,0.7222222,0.388,0.33333334,0,0,3
0,0.378,0.45238096,0.536,0.7063492,0.784,0.5952381,0.72,0.84126985,1.021,0.5,1.043,0.5793651,0.378,0.45238096,0.517,1.6507937,0.378,0.45238096,0.27,0.15873016,0.517,1.6507937,0.312,0.82539684,0.403,0.43650794,0,0,3
0,0.516,0.37301588,0.507,1.0793651,0.758,1.2301587,0.71,1.1349206,1.009,0.8095238,0.983,0.8174603,0.514,0.3888889,0.485,1.4603175,0.473,0.64285713,0.236,0.15873016,0.48,1.6507937,0.507,0.42063493,0.532,0.41269842,0,0,3
0,0.418,0.42063493,0.548,0.75396824,0.769,0.6111111,0.694,0.9126984,1.01,0.6111111,1.024,0.6031746,0.418,0.42063493,0.466,1.5793651,0.418,0.42063493,0.307,0.14285715,0.466,1.5793651,0.404,0.8730159,0.435,0.3968254,0,0,3
0,0.492,0.3888889,0.529,1.0476191,0.792,1.1031746,0.721,1.1111112,0.967,0.76984125,1.008,0.75396824,0.493,0.3888889,0.474,1.5714285,0.487,0.35714287,0.18,0.11904762,0.479,1.6349206,0.487,0.42857143,0.506,0.3809524,0.008,0,3
0,0.51,0.45238096,0.6,1.0555556,0.908,1.1269841,0.789,1.2301587,1.011,0.88095236,1.044,0.7380952,0.51,0.45238096,0.554,1.8809524,0.503,0.44444445,0.325,0.17460318,0.552,1.8968254,0.496,0.56349206,0.529,0.46031746,0,0,3
0,0.386,0.45238096,0.588,0.6666667,0.857,0.45238096,0.778,0.9285714,1.034,0.515873,0.995,0.5793651,0.386,0.45238096,0.513,1.9206349,0.386,0.45238096,0.297,0.34126985,0.513,1.9206349,0.262,0.74603176,0.403,0.42857143,0,0,3
0,0.356,0.2777778,0.464,0.6111111,0.664,0.5,0.642,0.6666667,1.025,0.3968254,0.951,0.42063493,0.356,0.2777778,0.437,1.3333334,0.356,0.2777778,0.195,0.031746034,0.437,1.3333334,0.352,0.54761904,0.368,0.3015873,0.007,0,3
0,0.497,0.46031746,0.563,1.0873016,0.822,1.1031746,0.736,1.0952381,1.007,0.85714287,0.956,0.8095238,0.496,0.46825397,0.579,1.6349206,0.467,0.63492066,0.316,0.31746033,0.573,1.6746032,0.45,0.95238096,0.541,0.42063493,0,0,3
0,0.354,0.32539684,0.507,0.5793651,0.721,0.37301588,0.649,0.6984127,0.966,0.53968257,1.052,0.43650794,0.354,0.32539684,0.469,1.531746,0.354,0.32539684,0.194,0.103174604,0.469,1.531746,0.279,0.74603176,0.365,0.31746033,0.006,0,3
0,0.462,0.36507937,0.549,0.9444444,0.81,0.9206349,0.727,0.99206346,1.05,0.8174603,1.069,0.64285713,0.462,0.36507937,0.522,1.6428572,0.462,0.35714287,0.23,0.2777778,0.522,1.6507937,0.435,0.6825397,0.479,0.3968254,0,0,3
0,0.376,0.26190478,0.475,0.6269841,0.686,0.6111111,0.641,0.7380952,1.019,0.48412699,1.014,0.45238096,0.376,0.26190478,0.484,1.4126984,0.369,0.26984128,0.252,0.023809524,0.475,1.4761904,0.304,0.4920635,0.38,0.2777778,0,0,3
0,0.33,0.22222222,0.393,0.5,0.573,0.46825397,0.537,0.6031746,0.975,0.42063493,0.973,0.3888889,0.33,0.22222222,0.396,0.97619045,0.324,0.22222222,0.036,0,0.394,0.984127,0.324,0.23809524,0.33,0.22222222,0,0,3
0,0.423,0.46825397,0.579,0.76984125,0.786,0.6031746,0.704,0.9206349,1.063,0.5555556,1.026,0.6111111,0.423,0.46825397,0.527,1.5476191,0.423,0.46825397,0.302,0.37301588,0.527,1.5476191,0.35,0.96825397,0.465,0.515873,0,0,3
0,0.439,0.53968257,0.59,0.84126985,0.844,0.75396824,0.766,1.0396825,1.127,0.5714286,0.975,0.5952381,0.439,0.53968257,0.561,1.7698413,0.439,0.53174603,0.332,0.18253969,0.562,1.7857143,0.321,1.1349206,0.455,0.5793651,0,0,3
0,0.452,0.46825397,0.578,0.85714287,0.866,0.85714287,0.764,1.0555556,1.062,0.6904762,0.941,0.6984127,0.452,0.46825397,0.583,1.7301587,0.448,0.46825397,0.282,0.14285715,0.582,1.7460318,0.43,0.7936508,0.464,0.44444445,0,0,3
0,0.41,0.37301588,0.55,0.74603176,0.794,0.6825397,0.743,0.8492063,1.012,0.5873016,0.936,0.5714286,0.41,0.37301588,0.504,1.6666666,0.41,0.37301588,0.294,0.17460318,0.504,1.6666666,0.375,0.64285713,0.427,0.3809524,0,0,3
0,0.493,0.47619048,0.641,1.0238096,0.981,1.0476191,0.859,1.2460318,1.044,0.6904762,1.026,0.6825397,0.493,0.47619048,0.625,2.0079365,0.492,0.4920635,0.357,0.34920636,0.624,2.0238094,0.45,0.8492063,0.509,0.43650794,0,0,3
0,0.503,0.3888889,0.529,1.0476191,0.784,1.1031746,0.732,1.1666666,0.99,0.73015875,1.004,0.85714287,0.503,0.3888889,0.461,1.5873016,0.491,0.37301588,0.228,0.17460318,0.472,1.6984127,0.494,0.3968254,0.542,0.36507937,0,0,3
0,0.51,0.45238096,0.618,1.1031746,0.951,1.0873016,0.859,1.1587301,1.025,0.93650794,1.018,0.84126985,0.51,0.45238096,0.584,2.047619,0.508,0.45238096,0.26,0.2857143,0.585,2.0555556,0.458,0.86507934,0.527,0.4920635,0,0,3
0,0.435,0.3888889,0.6,0.86507934,0.933,0.5714286,0.839,0.96031743,1.02,0.6269841,1.016,0.54761904,0.435,0.3888889,0.53,2.0238094,0.435,0.3888889,0.276,0.11904762,0.53,2.0238094,0.357,0.82539684,0.444,0.3888889,0,0,3
0,0.511,0.4047619,0.575,1.0555556,0.877,1.0714285,0.769,1.2301587,1.072,0.75396824,0.996,0.8333333,0.511,0.4047619,0.546,1.8174603,0.503,0.37301588,0.301,0.0952381,0.55,1.8809524,0.502,0.47619048,0.524,0.42857143,0,0,3
0,0.443,0.5555556,0.62,0.86507934,0.931,0.6825397,0.806,1.031746,1.031,0.7380952,1.026,0.7063492,0.443,0.5555556,0.54,1.9285715,0.443,0.5555556,0.279,0.15873016,0.54,1.9285715,0.351,1.1269841,0.457,0.5714286,0,0,3
0,0.424,0.42063493,0.585,0.7936508,0.843,0.56349206,0.73,0.984127,1.037,0.5555556,1.021,0.6111111,0.424,0.42063493,0.493,1.8571428,0.424,0.42063493,0.305,0.42857143,0.493,1.8571428,0.313,1,0.457,0.3888889,0,0,3
0,0.331,0.33333334,0.474,0.52380955,0.676,0.41269842,0.606,0.65873015,1.027,0.37301588,0.964,0.43650794,0.331,0.33333334,0.409,1.3174603,0.331,0.33333334,0.216,0.11111111,0.409,1.3174603,0.281,0.74603176,0.354,0.2936508,0,0,3
0,0.443,0.36507937,0.533,0.8730159,0.753,0.8730159,0.665,1,1.057,0.56349206,1.026,0.61904764,0.443,0.36507937,0.522,1.5396825,0.443,0.35714287,0.28,0.32539684,0.521,1.5476191,0.392,0.74603176,0.484,0.36507937,0,0,3
0,0.501,0.36507937,0.539,1.031746,0.803,1.0873016,0.74,1.1349206,1.055,0.5952381,1.024,0.7222222,0.5,0.36507937,0.592,1.6666666,0.483,0.33333334,0.325,0.20634921,0.586,1.7301587,0.483,0.48412699,0.517,0.35714287,0,0,3
0,0.444,0.25396827,0.49,0.75396824,0.691,0.9126984,0.638,0.97619045,1.003,0.6269841,1.038,0.5,0.444,0.25396827,0.526,1.3253968,0.431,0.1984127,0.181,0,0.515,1.4047619,0.438,0.23809524,0.446,0.25396827,0,0,3
0,0.395,0.3968254,0.523,0.6904762,0.745,0.6825397,0.7,0.7380952,0.993,0.5873016,1.039,0.53174603,0.395,0.3968254,0.475,1.4841269,0.395,0.3968254,0.295,0.13492064,0.475,1.4841269,0.351,0.76984125,0.424,0.34126985,0,0,3
0,0.539,0.36507937,0.572,1.1190476,0.852,1.3015873,0.786,1.2222222,0.989,0.86507934,1.072,0.7380952,0.534,0.43650794,0.509,1.7777778,0.464,0.78571427,0.316,0.46031746,0.532,1.8888888,0.511,0.5714286,0.56,0.37301588,0,0,3
0,0.306,0.20634921,0.383,0.47619048,0.564,0.45238096,0.523,0.5,0.975,0.3015873,0.965,0.2936508,0.306,0.20634921,0.36,1.0714285,0.306,0.20634921,0.07,0,0.36,1.0714285,0.294,0.47619048,0.31,0.1904762,0,0,3
0,0.292,0.1904762,0.374,0.41269842,0.534,0.35714287,0.521,0.52380955,0.968,0.34920636,0.998,0.2936508,0.292,0.1904762,0.381,0.9047619,0.292,0.1904762,0.114,0,0.381,0.9047619,0.292,0.2777778,0.292,0.1904762,0,0,3
