class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,tag
0,0.303,0.26984128,0.535,0.46031746,0.799,0.43650794,0.777,0.6031746,1.063,0.3015873,0.979,0.30952382,0.303,0.26984128,0.544,1.4126984,0.303,0.26984128,0.32,0.15079366,0.544,1.4126984,0.244,0.35714287,0.322,0.26190478,-0.005,0,2
0,0.454,0.31746033,0.545,0.93650794,0.783,0.9285714,0.673,0.9444444,1.002,0.71428573,1.031,0.5793651,0.454,0.31746033,0.469,1.5,0.454,0.31746033,0.239,0.36507937,0.469,1.5,0.401,0.63492066,0.473,0.3809524,-0.005,0,2
0,0.452,0.26190478,0.669,0.9126984,0.938,0.74603176,0.783,1.0238096,0.973,0.6269841,0.997,0.5793651,0.452,0.26190478,0.543,1.6746032,0.452,0.26190478,0.336,0.5793651,0.543,1.6746032,0.298,0.73015875,0.515,0.2857143,-0.004,0,2
0,0.379,0.25396827,0.546,0.6825397,0.779,0.64285713,0.7,0.7777778,1.006,0.52380955,0.969,0.5793651,0.379,0.25396827,0.461,1.3888888,0.377,0.23809524,0.271,0.25396827,0.46,1.4047619,0.315,0.3015873,0.413,0.26984128,-0.005,0,2
0,0.566,0.43650794,0.63,1.2539682,0.94,1.2539682,0.775,1.3809524,0.992,0.9285714,1.018,0.8888889,0.565,0.46031746,0.562,1.8253968,0.544,0.67460316,0.331,0.47619048,0.551,1.8888888,0.527,0.75396824,0.603,0.53968257,-0.005,0,2
0,0.538,0.41269842,0.58,1.2301587,0.924,1.2539682,0.824,1.2380953,1.026,0.8015873,1.061,0.8095238,0.538,0.41269842,0.511,1.8809524,0.535,0.41269842,0.209,0.015873017,0.513,1.9047619,0.532,0.47619048,0.546,0.36507937,-0.006,0,2
0,0.341,0.2936508,0.572,0.48412699,0.837,0.34126985,0.741,0.7063492,0.953,0.43650794,1.056,0.32539684,0.341,0.2936508,0.428,1.6111112,0.341,0.2936508,0.259,0.0952381,0.428,1.6111112,0.292,0.61904764,0.371,0.3015873,-0.004,0,2
0,0.454,0.30952382,0.729,0.8492063,1.092,0.63492066,0.881,1.1111112,0.914,0.6904762,0.943,0.63492066,0.454,0.30952382,0.505,2.0555556,0.454,0.30952382,0.39,0.515873,0.505,2.0555556,0.316,0.63492066,0.498,0.3809524,-0.004,0,2
0,0.441,0.34126985,0.602,0.8730159,0.9,0.64285713,0.798,1.0238096,1.011,0.53174603,1.005,0.5793651,0.441,0.34920636,0.512,1.9285715,0.439,0.33333334,0.363,0.08730159,0.511,1.9365079,0.377,0.7777778,0.457,0.31746033,-0.005,0,2
0,0.442,0.46825397,0.61,0.8174603,0.904,0.6269841,0.766,1.0238096,1.028,0.61904764,1.031,0.6111111,0.441,0.46825397,0.552,1.9444444,0.44,0.45238096,0.242,0.071428575,0.552,1.9444444,0.35,1.0634921,0.451,0.44444445,-0.006,0,2
0,0.416,0.34920636,0.676,0.7222222,0.969,0.52380955,0.783,0.99206346,1.013,0.52380955,0.961,0.6031746,0.416,0.34920636,0.489,2.079365,0.416,0.34920636,0.408,0.23015873,0.489,2.079365,0.326,0.8174603,0.467,0.34126985,-0.004,0,2
0,0.462,0.31746033,0.729,0.85714287,1.049,0.75396824,0.874,1.0793651,0.976,0.65873015,0.962,0.6904762,0.462,0.31746033,0.524,2.0952382,0.462,0.31746033,0.322,0.64285713,0.524,2.0952382,0.352,0.75396824,0.529,0.37301588,-0.003,0,2
0,0.413,0.3968254,0.675,0.73015875,0.973,0.5555556,0.835,0.984127,1.048,0.52380955,0.98,0.6825397,0.413,0.3968254,0.546,2.0396826,0.413,0.3968254,0.406,0.53174603,0.546,2.0396826,0.285,0.7777778,0.451,0.46031746,-0.004,0,2
0,0.403,0.15873016,0.593,0.7619048,0.889,0.6984127,0.794,0.7619048,0.945,0.4920635,1.052,0.5,0.403,0.15873016,0.479,1.7857143,0.403,0.15873016,0.365,0.1904762,0.479,1.7857143,0.343,0.16666667,0.435,0.18253969,-0.004,0,2
0,0.443,0.41269842,0.622,0.86507934,0.969,0.5555556,0.81,1.0952381,1.056,0.64285713,1.012,0.74603176,0.443,0.41269842,0.556,2.079365,0.443,0.41269842,0.243,0.031746034,0.556,2.079365,0.374,1.0793651,0.451,0.3968254,-0.005,0,2
0,0.489,0.2936508,0.583,1.1031746,0.924,1.0555556,0.826,1.0396825,0.939,0.7222222,0.907,0.64285713,0.489,0.2936508,0.459,1.9761904,0.488,0.2936508,0.18,0.031746034,0.46,1.9841269,0.442,0.6904762,0.491,0.2857143,-0.006,0,2
0,0.4,0.32539684,0.635,0.67460316,0.883,0.56349206,0.779,0.8968254,0.976,0.63492066,1.001,0.53174603,0.4,0.32539684,0.505,1.6507937,0.4,0.32539684,0.304,0.5,0.505,1.6507937,0.277,0.5873016,0.454,0.3809524,-0.004,0,2
0,0.558,0.4920635,0.717,1.1825397,1.048,1.1666666,0.835,1.4126984,1.002,0.8968254,0.981,0.8095238,0.557,0.515873,0.567,2.2380953,0.531,0.74603176,0.363,0.78571427,0.564,2.2698412,0.449,1.0634921,0.591,0.52380955,-0.004,0,2
0,0.523,0.33333334,0.638,1.1587301,0.946,1.1746032,0.822,1.2142857,0.962,0.7936508,0.956,0.78571427,0.523,0.33333334,0.572,1.7619047,0.516,0.30952382,0.273,0.43650794,0.565,1.8253968,0.468,0.3809524,0.572,0.36507937,-0.004,0,2
0,0.456,0.26190478,0.661,0.96825397,0.973,0.86507934,0.862,1.0396825,0.971,0.67460316,1.007,0.6666667,0.456,0.26190478,0.572,1.8730159,0.456,0.25396827,0.397,0.6904762,0.57,1.8809524,0.354,0.48412699,0.508,0.26190478,-0.004,0,2
0,0.551,0.3888889,0.69,1.2619047,1.027,1.1428572,0.84,1.3253968,1.035,0.85714287,1.023,0.78571427,0.551,0.3888889,0.602,1.9444444,0.55,0.3888889,0.357,0.6269841,0.601,1.9523809,0.444,0.7380952,0.596,0.41269842,-0.004,0,2
0,0.479,0.23809524,0.588,0.93650794,0.828,0.9126984,0.737,0.99206346,0.943,0.7063492,0.966,0.5952381,0.479,0.23809524,0.421,1.6269841,0.479,0.23809524,0.302,0.45238096,0.421,1.6269841,0.392,0.71428573,0.488,0.3968254,-0.004,0,2
0,0.49,0.33333334,0.646,1.031746,0.957,0.95238096,0.83,1.1349206,0.97,0.7619048,1.041,0.71428573,0.49,0.33333334,0.589,1.8492063,0.483,0.34920636,0.377,0.46031746,0.589,1.8571428,0.425,0.73015875,0.519,0.35714287,-0.005,0,2
0,0.406,0.23015873,0.58,0.6507937,0.875,0.63492066,0.754,0.8968254,1.013,0.5,0.935,0.5714286,0.406,0.23015873,0.534,1.5476191,0.385,0.15873016,0.35,0.0952381,0.522,1.6587301,0.346,0.24603175,0.43,0.22222222,-0.005,0,2
0,0.36,0.2936508,0.623,0.5793651,0.879,0.44444445,0.798,0.7619048,1.043,0.46825397,0.984,0.4920635,0.36,0.2936508,0.552,1.4841269,0.36,0.2936508,0.344,0.36507937,0.552,1.4841269,0.247,0.6666667,0.434,0.2936508,-0.004,0,2
0,0.481,0.3888889,0.699,0.93650794,1.049,0.8174603,0.905,1.1190476,0.965,0.73015875,1.049,0.73015875,0.481,0.3888889,0.666,1.7619047,0.474,0.3888889,0.4,0.50793654,0.666,1.7777778,0.353,0.9047619,0.546,0.45238096,-0.004,0,2
