class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,tag
0,0.416,0.2936508,0.631,0.82539684,0.994,0.42063493,0.868,0.984127,1.004,0.53174603,0.916,0.5952381,0.416,0.2936508,0.458,2.3174603,0.416,0.2936508,0.165,0.023809524,0.458,2.3174603,0.108,0.071428575,0.422,0.2936508,0,0,0
0,0.473,0.4047619,0.588,0.97619045,0.893,0.8968254,0.796,1.0634921,1.023,0.7222222,1.052,0.6984127,0.473,0.4047619,0.586,1.8650794,0.466,0.3968254,0.227,0.055555556,0.584,1.8888888,0.425,0.7936508,0.48,0.37301588,0,0,0
0,0.586,0.48412699,0.612,1.2380953,0.963,1.3412699,0.824,1.4603175,1.012,0.85714287,1.091,0.7936508,0.584,0.48412699,0.6,1.8571428,0.563,0.45238096,0.193,0.031746034,0.599,2,0.575,0.6031746,0.592,0.45238096,0,0,0
0,0.592,0.46825397,0.634,1.2857143,0.918,1.4206349,0.777,1.5238096,1.019,1.0158731,1.007,1.0158731,0.58,0.52380955,0.667,1.8333334,0.475,0.6666667,0.387,0.31746033,0.653,1.9841269,0.547,0.6666667,0.632,0.42857143,0,0,0
0,0.508,0.515873,0.618,1.0634921,0.937,0.984127,0.819,1.1587301,1.018,0.82539684,1.08,0.7222222,0.505,0.53174603,0.61,1.9126984,0.489,0.4920635,0.285,0.16666667,0.605,1.9365079,0.462,0.984127,0.524,0.43650794,0,0,0
0,0.518,0.3968254,0.57,1.0396825,0.803,1.1507937,0.729,1.1666666,1.011,0.7222222,1.004,0.82539684,0.518,0.3968254,0.609,1.6031746,0.498,0.4047619,0.331,0.2777778,0.579,1.7777778,0.505,0.53174603,0.533,0.41269842,0,0,0
0,0.508,0.34920636,0.527,1.0238096,0.758,1.1269841,0.682,1.1587301,0.971,0.7777778,1.029,0.6031746,0.507,0.34920636,0.569,1.3968254,0.493,0.32539684,0.288,0.26984128,0.563,1.4523809,0.503,0.3968254,0.549,0.3809524,0,0,0
0,0.554,0.3809524,0.592,1.2619047,0.935,1.3333334,0.848,1.2142857,0.998,0.9444444,1.063,0.73015875,0.553,0.3888889,0.568,1.9126984,0.534,0.52380955,0.201,0.023809524,0.571,1.968254,0.533,0.53968257,0.559,0.3888889,0,0,0
0,0.44,0.4047619,0.626,0.85714287,0.968,0.53968257,0.829,1.0634921,1.043,0.5952381,1.017,0.5555556,0.44,0.4047619,0.556,2.1507936,0.44,0.4047619,0.199,0.007936508,0.556,2.1507936,0.267,0.82539684,0.444,0.4047619,0,0,0
0,0.501,0.52380955,0.644,1.0952381,0.998,1,0.876,1.2539682,1.032,0.76984125,1.032,0.74603176,0.501,0.52380955,0.595,2.0714285,0.501,0.52380955,0.226,0.023809524,0.595,2.0714285,0.471,1.0158731,0.511,0.515873,0,0,0
